protein,G10_2,G10_3,G11_2,G11_3,G12_2,G12_3,G13_2,G13_3,G16_2,G16_3,G17_2,G17_3,G18_2,G18_3,G19_2,G19_3,G20,G20_2,G21,G21_2,G22,G22_2,G23,G23_2,G26,G26_2,G27,G27_2,G28,G28_2,G29,G29_2,G32,G32_2,G33,G33_2,G34,G34_2,G35,G35_2,G4_2,G4_3,G5_2,G5_3,G6_2,G6_3,G7_2,G7_3,SumNSAFpH7.1,SumNSAFpH7.5,clusterpH7.1,clusterpH7.5,uniprotID
TRINITY_DN48424_c0_g2::TRINITY_DN48424_c0_g2_i1::g.38900::m.38900,0,0,0,0,7.2172,0,0,0,0,0,0,0,0,0,0,0,0,0,7.235,7.2272,8.0748,0,0,0,0,0,7.2289,0,0,0,0,0,7.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.292,22.1341,17,10,NA
TRINITY_DN48437_c0_g1::TRINITY_DN48437_c0_g1_i1::g.38880::m.38880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2671,0,0,5.0274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0274,5.2671,6,5,NA
TRINITY_DN48441_c0_g1::TRINITY_DN48441_c0_g1_i1::g.38906::m.38906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9583,0,0,0,0,0,0,0,0,0,0,0,0,6.3446,0,0,0,0,0,0,0,5.8628,12.2074,5.9583,14,5,A0A0A8J1X6
TRINITY_DN48443_c0_g1::TRINITY_DN48443_c0_g1_i1::g.38926::m.38926,2.2669,6.966,2.1955,2.2485,6.8005,6.9985,4.6612,0,4.4542,4.3751,6.5178,4.3833,6.4488,2.1979,4.3011,6.64,6.5572,8.8366,6.8173,9.0798,2.5362,5.0995,4.4358,6.7215,4.4079,4.4321,4.541,4.5981,4.7773,2.3807,6.5832,6.5353,4.8231,4.7365,4.7762,4.7329,7.284,9.5309,6.9848,7.2531,4.4986,6.7657,4.5868,6.7986,4.6197,7.1794,4.315,4.4682,124.3168,117.5784,1,1,A0A0L8G7Z1
TRINITY_DN48454_c0_g1::TRINITY_DN48454_c0_g1_i1::g.38879::m.38879,2.2565,0,2.1854,0,2.2564,0,2.3199,0,2.2169,2.1775,2.1626,2.1816,0,2.1877,2.1406,0,0,2.199,0,0,2.5245,2.538,0,2.2302,2.1938,2.2059,2.2601,2.2885,0,0,2.1843,2.1684,0,2.3574,0,2.3556,0,0,0,2.4066,2.2389,2.2449,2.2829,0,2.2992,2.3821,0,2.2238,29.8617,35.8075,8,6,A0A1S3JNK6
TRINITY_DN48468_c0_g1::TRINITY_DN48468_c0_g1_i1::g.38892::m.38892,0,0,0,6.4054,0,0,0,0,0,0,0,0,0,0,6.1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1262,6.4054,3,14,V4AKF6
TRINITY_DN48477_c0_g2::TRINITY_DN48477_c0_g2_i1::g.38918::m.38918,12.6817,10.392,9.8256,5.0316,5.0725,7.8303,2.6076,8.1621,7.4754,9.7902,7.2925,7.3566,4.8102,7.3773,9.6246,4.9528,9.7821,7.4152,10.1702,2.5398,8.5129,2.8528,7.4446,10.0273,12.3297,9.9179,2.5404,2.5723,2.6726,5.3273,7.3657,9.7495,10.7928,5.2995,8.0159,10.5909,8.1498,5.3319,15.6301,5.4101,10.0666,5.0466,7.698,7.6067,5.1688,10.7104,4.8279,4.9993,157.1738,182.06,1,1,A0A2C9JZJ0
TRINITY_DN48511_c0_g1::TRINITY_DN48511_c0_g1_i1::g.23976::m.23976,1.5806,1.619,0,4.7035,1.5806,1.6266,0,1.6955,0,1.5253,1.5149,0,1.4988,0,0,1.5433,0,1.5404,0,0,0,0,0,0,0,1.5452,1.5831,0,0,0,1.5301,3.0379,0,0,0,0,1.693,1.6614,1.6234,1.6858,1.5683,1.5725,0,1.5801,1.6106,0,0,0,20.787,20.3329,8,6,K1R5X4
TRINITY_DN48514_c0_g1::TRINITY_DN48514_c0_g1_i1::g.23994::m.23994,5.008,25.6486,0,0,5.0078,5.1536,5.1487,0,9.8401,9.6653,4.7997,4.8418,4.7488,0,9.5019,4.8896,9.6573,9.7608,0,5.0148,11.2058,16.8987,4.8997,4.9497,9.7379,4.8957,10.0319,0,0,0,4.8479,19.2502,10.6552,10.4638,10.5516,10.4558,5.3639,0,5.1436,10.6822,4.9691,4.9822,5.0665,10.0129,5.1029,5.2869,0,0,123.1822,176.059,1,1,K1RRQ1
TRINITY_DN48526_c0_g1::TRINITY_DN48526_c0_g1_i1::g.23993::m.23993,8.8429,0,0,0,2.2107,2.275,0,0,2.1719,2.1333,2.1188,2.1374,4.1927,4.2868,4.1945,2.1585,2.1316,2.1544,0,2.2137,0,0,4.3259,2.185,2.1494,2.1612,2.2142,0,0,0,4.2801,2.1245,2.3518,0,2.3289,0,2.3679,2.3237,2.2706,2.3578,4.3871,2.1994,4.4732,4.4201,0,0,0,0,37.2278,50.5893,8,6,K1Q9Z3
TRINITY_DN48527_c0_g1::TRINITY_DN48527_c0_g1_i1::g.24021::m.24021,3.2938,3.3739,3.19,3.2672,3.2937,6.7793,3.3864,3.5333,3.236,3.1785,3.1568,0,3.1234,3.1935,3.1248,3.216,3.1759,0,3.3019,3.2983,3.6851,0,3.2227,6.511,3.2024,0,3.2991,3.3406,0,0,3.1885,3.1653,0,0,0,0,0,0,0,3.513,9.8048,3.2769,3.3324,3.2928,10.0688,3.4773,3.1349,3.2462,69.6405,58.7194,1,1,A0A2C9KBV3
TRINITY_DN48534_c0_g1::TRINITY_DN48534_c0_g1_i1::g.23979::m.23979,5.0858,5.2094,9.8511,5.0447,5.0857,10.4675,5.2288,5.4555,9.9931,9.8156,4.8743,4.9171,9.6453,9.8619,4.8248,14.8969,9.8074,4.9563,5.0982,5.0927,0,11.4409,0,10.0532,0,0,10.1878,10.316,5.359,5.3411,9.8464,9.7747,5.4104,0,5.3578,0,10.8946,5.3457,5.2235,5.4241,5.0463,10.1194,10.2906,5.0843,5.1822,5.3691,4.8405,5.0122,164.5736,136.4601,1,1,A0A0V0GBI9
TRINITY_DN48545_c0_g1::TRINITY_DN48545_c0_g1_i1::g.23982::m.23982,11.8261,12.1135,34.3601,17.5956,23.6514,12.17,12.1585,12.6856,29.0461,11.4121,0,5.7168,5.607,5.7329,0,0,0,11.5249,11.855,5.921,6.6155,0,5.7852,11.6884,5.7489,17.3413,5.9224,0,24.9224,18.6296,5.724,5.6823,0,0,0,0,6.3333,12.4304,0,6.3064,11.7342,5.8827,5.9822,11.8224,6.0251,12.4847,11.2555,17.4823,217.5853,203.9503,2,1,A0A0P5RUR5
TRINITY_DN48571_c0_g1::TRINITY_DN48571_c0_g1_i2::g.24020::m.24020,10.846,5.5548,10.5042,5.3791,5.4228,11.1615,16.7263,11.6344,15.9834,10.4663,15.5923,10.4861,10.2848,10.5157,0,21.1794,15.6864,15.8546,16.3088,10.8607,12.1344,6.0997,15.9174,16.0796,10.5449,10.6028,16.2949,10.9999,11.4285,11.3905,15.7489,15.6341,11.5382,11.3309,11.426,11.3224,11.6169,22.8005,11.1397,17.3513,10.7618,10.7903,16.4593,10.8427,16.5774,22.9001,10.3227,10.689,298.8382,270.128,2,1,NA
TRINITY_DN48575_c0_g1::TRINITY_DN48575_c0_g1_i1::g.24005::m.24005,28.1788,43.2958,36.3878,37.2678,37.5706,38.6646,24.1424,35.2649,27.6842,36.2565,31.5078,31.7845,35.6276,36.4275,35.6433,32.0985,40.7547,45.7686,37.6636,42.3255,36.7807,36.9777,41.3548,37.1344,13.6983,27.547,23.5198,28.5786,44.5383,59.187,36.3706,40.6188,24.981,29.4387,34.6333,39.2219,30.1817,34.5554,24.1183,35.0623,37.2801,28.0341,28.5084,37.5603,38.2841,39.6642,31.2893,37.028,837.2302,754.2135,2,11,Q1MWL3
TRINITY_DN48584_c0_g1::TRINITY_DN48584_c0_g1_i2::g.24000::m.24000,5.5456,5.6804,10.7416,5.5007,11.0908,0,0,5.9486,10.8964,5.3514,5.3149,0,0,10.7533,0,0,5.347,0,5.5591,5.5531,0,0,0,0,0,0,5.5544,0,5.8434,0,0,0,0,0,0,0,0,0,0,0,0,5.5171,11.2208,0,0,5.8544,5.278,5.4653,50.2338,82.2234,20,6,A0A210QE27
TRINITY_DN48616_c0_g1::TRINITY_DN48616_c0_g1_i1::g.8291::m.8291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5763,0,0,1.6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6019,0,0,0,0,0,0,0,1.5763,1.6019,3,40,A0A210QW36
TRINITY_DN48627_c0_g1::TRINITY_DN48627_c0_g1_i1::g.8301::m.8301,0,0,0,0,0,0,0,0,0,0,2.0144,0,0,0,0,0,2.0266,0,0,0,2.3515,2.3641,0,0,0,2.0547,2.1052,0,0,0,0,0,0,0,0,0,0,4.4185,4.3175,0,0,2.0911,0,0,2.1417,0,0,0,15.5933,10.292,7,8,K1PZY1
TRINITY_DN48654_c0_g1::TRINITY_DN48654_c0_g1_i1::g.8316::m.8316,1.995,6.1306,0,1.9789,1.995,4.1062,2.0511,2.1401,0,1.9252,3.8241,3.8577,0,0,5.6779,3.8958,3.8472,3.8885,3.9998,0,8.9282,4.488,3.9039,3.9436,0,0,1.9982,2.0234,0,0,7.725,3.8344,10.6119,6.2527,4.2035,4.1653,2.1368,2.097,6.1472,4.2555,5.9387,3.9696,2.0184,3.9889,4.0657,6.3185,0,1.9662,75.7722,72.6178,1,1,V9K7U0
TRINITY_DN48665_c0_g1::TRINITY_DN48665_c0_g1_i1::g.8311::m.8311,4.0898,4.1893,3.961,4.0568,4.0897,4.2088,4.2048,4.3871,4.018,3.9467,3.9197,3.9541,3.8782,3.9653,3.8799,3.9932,15.7736,7.9714,12.2995,4.0954,13.7271,9.2004,4.0015,4.0422,7.9526,7.9963,8.1927,8.2957,4.3095,12.8855,3.9591,7.8605,8.7017,12.8181,8.6171,17.0779,4.3805,8.5977,12.6018,8.7238,4.0581,0,0,0,0,0,0,4.0306,126.9257,143.686,1,1,K1QTN5
TRINITY_DN48666_c0_g1::TRINITY_DN48666_c0_g1_i1::g.8315::m.8315,10.6115,10.8694,7.7078,10.5256,10.6112,8.1901,8.1823,5.6914,13.0315,15.36,12.7126,7.6946,10.0624,5.1442,10.0668,10.3607,12.7894,10.3412,13.2968,10.6259,8.9041,11.9356,7.7866,5.244,10.3169,5.1868,7.9713,10.762,8.386,5.5721,10.2722,7.6481,8.4665,8.3144,11.1789,11.0775,8.5243,5.5769,8.1741,5.6587,7.8968,7.9177,8.0517,7.9562,5.4063,2.8006,15.1493,10.4579,188.0193,227.3662,1,1,A0A210QKP7
TRINITY_DN48668_c0_g1::TRINITY_DN48668_c0_g1_i1::g.8306::m.8306,15.8958,20.3527,26.9409,31.5343,15.8953,16.3581,20.4282,21.3139,15.6167,19.1741,15.2345,23.0525,18.8415,23.1175,22.6198,23.2802,11.4949,11.6182,27.8856,15.9173,31.1221,17.8793,15.5522,23.5661,15.4545,7.7697,7.9605,8.0606,29.3116,25.0406,30.7751,22.9132,21.1378,24.9097,16.7458,16.5939,25.5384,16.7081,16.3262,21.1915,19.7154,19.7676,16.0817,27.8091,16.1971,16.781,26.4755,15.6657,497.346,408.8382,2,11,A0A2C9JDB0
TRINITY_DN48678_c0_g1::TRINITY_DN48678_c0_g1_i1::g.8314::m.8314,0,0,0,0,3.2181,0,0,0,0,0,3.0844,3.1115,3.0517,3.1202,9.1592,0,0,0,0,0,3.6005,0,3.1487,0,3.1289,0,0,0,0,0,0,0,0,0,3.3903,0,0,3.3827,0,0,0,0,0,0,0,0,3.063,0,28.5954,12.7151,8,32,A0A210QNT9
TRINITY_DN48700_c0_g1::TRINITY_DN48700_c0_g1_i1::g.8312::m.8312,5.3491,0,2.5903,2.6529,0,2.7524,0,0,0,0,0,2.5858,2.5362,0,0,2.6114,2.5788,2.6064,0,8.0345,0,0,2.6168,0,5.2006,2.6146,2.6788,0,0,2.8088,2.589,5.1404,0,0,2.8176,0,2.8647,0,0,0,0,0,2.7058,2.6737,2.7253,2.8235,2.5455,5.2717,34.6689,45.0889,31,6,A0A210R2V4
TRINITY_DN48702_c0_g1::TRINITY_DN48702_c0_g1_i1::g.8309::m.8309,27.4563,28.1237,19.9433,40.8513,20.5916,21.1912,42.342,36.815,40.4615,33.1189,32.8928,26.5453,32.5444,33.2751,26.0471,20.1056,26.4732,20.0678,27.5234,34.3669,15.359,23.1618,40.2944,33.9209,33.3677,33.5508,27.5,27.8459,43.3963,28.8347,33.2231,19.7887,21.9064,14.3419,21.6934,28.6622,14.7039,0,14.0999,0,34.0539,27.3153,34.7218,34.3099,34.971,28.9854,26.1317,33.8236,583.312,669.5702,2,11,K1QK84
TRINITY_DN48705_c0_g2::TRINITY_DN48705_c0_g2_i1::g.8318::m.8318,0,3.8084,3.6009,0,3.7179,3.8262,3.8225,0,0,0,3.5634,3.5947,0,0,0,0,0,0,3.7271,3.7231,0,0,3.6377,0,3.6148,3.6347,3.724,0,3.9177,0,3.5992,0,0,0,3.9169,0,3.9823,0,0,3.9654,0,3.6989,3.7615,0,3.7885,3.9251,0,0,34.5448,40.6413,12,6,NA
TRINITY_DN48711_c0_g1::TRINITY_DN48711_c0_g1_i2::g.8403::m.8403,5.1123,5.2366,4.9512,10.1419,5.1121,5.261,10.512,0,5.0226,4.9333,4.8997,0,0,0,4.8499,0,9.8585,9.9642,10.2496,10.2385,5.7196,5.7502,10.0036,10.1056,9.9408,9.9953,10.2409,10.3697,10.7737,10.7379,4.9489,4.9128,5.4386,5.3409,5.3857,10.6737,10.9513,5.3736,10.5015,5.4524,5.0726,5.086,5.1721,5.1107,10.4185,10.794,4.8657,10.0766,147.1173,158.1858,1,1,R7VKI2
TRINITY_DN48716_c0_g1::TRINITY_DN48716_c0_g1_i1::g.8389::m.8389,34.8484,23.797,36.5627,37.447,34.8473,38.8505,44.7848,46.7267,37.0897,30.8261,27.8323,42.1152,44.0601,25.3403,46.8346,36.8604,28.0005,48.1112,46.5781,31.9876,32.4901,32.6641,34.0953,28.7023,31.0576,31.228,34.9039,26.5071,24.48,45.7473,30.923,33.4885,27.8043,27.3048,27.5339,45.4737,34.2149,51.8915,32.8094,40.2639,37.4593,34.6694,41.1319,37.7409,41.4272,39.8549,41.4589,54.378,883.0987,781.4325,2,11,V4AUP1
TRINITY_DN4872_c0_g1::TRINITY_DN4872_c0_g1_i1::g.25173::m.25173,0,0,0,0,3.1561,0,0,0,0,0,0,3.0514,0,3.06,0,0,0,3.0758,0,0,0,0,0,0,0,0,0,3.2009,0,0,0,3.033,0,0,0,0,0,0,0,3.3661,0,0,6.3861,6.3104,0,0,0,0,12.6152,22.0246,38,42,K1QL88
TRINITY_DN48741_c0_g1::TRINITY_DN48741_c0_g1_i2::g.8427::m.8427,48.2736,32.9647,46.7523,55.8636,40.2267,33.1185,41.3587,69.0432,47.4262,38.8197,46.2656,54.4505,53.4048,54.604,45.7959,47.1329,23.2725,39.2034,32.2611,48.339,27.0041,27.1487,47.2303,47.7117,23.4668,15.7304,40.2921,57.1183,42.3885,50.697,31.1535,46.3898,34.2363,42.0266,50.855,41.9948,34.4698,33.827,33.0539,25.7425,39.9156,56.0299,48.8381,56.3019,49.1888,50.962,53.6021,47.5749,985.599,988.4369,2,11,A0A210PR01
TRINITY_DN48756_c0_g1::TRINITY_DN48756_c0_g1_i1::g.8429::m.8429,0,0,0,0,0,0,0,0,0,3.2109,0,0,3.1552,0,0,3.2487,3.2082,0,0,0,0,0,3.2554,3.2886,0,0,0,0,0,0,0,3.1975,0,0,0,3.4735,0,0,3.4174,0,3.3015,0,0,0,0,0,0,0,16.3074,13.1941,9,22,V4CS81
TRINITY_DN48761_c0_g1::TRINITY_DN48761_c0_g1_i1::g.8419::m.8419,0,0,0,0,0,0,0,0,2.5716,0,0,0,0,0,0,0,2.5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5154,0,0,0,0,0,2.7513,0,0,0,2.6041,0,0,0,0,0,0,5.2667,7.6995,43,36,A0A210QMX0
TRINITY_DN48762_c0_g1::TRINITY_DN48762_c0_g1_i1::g.8405::m.8405,63.0362,87.6287,56.689,71.4585,45.0244,83.4039,55.5496,57.9583,53.0825,56.4845,60.4141,69.651,59.7742,61.1164,55.5292,61.5466,60.779,43.879,54.1631,54.1042,70.5245,70.9021,70.4844,71.2027,56.9087,57.221,63.1366,54.7976,52.1884,61.4721,65.3794,38.9419,62.2692,61.1506,71.1504,56.404,62.6939,56.7922,55.4942,52.8232,53.6115,53.7534,50.1076,54.0144,59.6432,76.0534,55.7096,70.9986,1400.722,1371.7317,2,21,A0A0L8H4E7
TRINITY_DN48765_c0_g1::TRINITY_DN48765_c0_g1_i1::g.8398::m.8398,3.0867,0,0,3.0617,3.0866,0,3.1734,9.9331,3.0325,0,2.9583,0,0,0,2.9282,0,2.9761,3.0081,3.0942,3.0909,0,3.4718,3.02,3.0507,0,0,3.0916,3.1305,0,3.2416,2.988,5.9325,9.851,6.4494,0,3.2222,3.3061,3.2444,3.1703,6.584,3.0627,3.0708,3.1228,3.0857,3.1452,3.2586,2.9378,6.084,69.5363,59.301,1,1,A0A210QW61
TRINITY_DN48781_c0_g1::TRINITY_DN48781_c0_g1_i1::g.8425::m.8425,0,0,0,0,0,0,0,2.4891,0,0,0,0,2.2004,0,0,0,0,0,0,0,0,2.61,0,0,2.2561,0,0,0,0,2.437,0,2.2299,0,0,2.4446,2.4224,0,2.4391,0,0,0,0,0,0,0,0,2.2085,0,16.614,7.1231,8,23,K1PPI7
TRINITY_DN48786_c0_g1::TRINITY_DN48786_c0_g1_i2::g.8434::m.8434,0,0,0,0,0,0,1.5842,0,0,1.487,0,0,0,0,0,0,0,1.5017,0,0,0,0,0,1.523,0,0,1.5434,3.1256,0,0,0,0,3.2785,0,0,0,1.6504,0,3.1653,0,0,0,0,1.5404,1.5701,1.6267,0,3.0372,14.1569,12.4766,8,22,NA
TRINITY_DN48797_c0_g1::TRINITY_DN48797_c0_g1_i1::g.8401::m.8401,0,0,0,0,0,0,0,0,0,5.9572,0,5.9685,5.8539,0,0,6.0275,5.9523,0,0,0,0,6.9437,0,0,0,0,0,0,0,0,11.952,0,13.1347,6.4494,0,6.4445,0,0,0,0,0,0,0,0,0,0,0,0,30.7771,43.9066,32,10,NA
TRINITY_DN48809_c1_g1::TRINITY_DN48809_c1_g1_i1::g.34009::m.34009,17.2204,35.278,58.372,51.2433,68.8795,70.8852,35.4088,64.6523,25.3772,41.5439,49.5123,24.9736,57.1526,41.7399,57.1779,50.4405,74.717,50.3454,94.9437,60.3531,105.9635,48.4231,84.2412,42.5499,25.1136,16.8343,34.4957,17.4647,99.7989,72.3396,41.6746,49.6453,64.1179,35.9806,81.6357,53.9302,110.6662,99.5523,106.1205,64.2809,42.7167,42.8299,43.5545,43.0378,52.6406,63.628,81.9481,59.399,1544.9672,990.6478,2,11,V4A787
TRINITY_DN48827_c0_g1::TRINITY_DN48827_c0_g1_i3::g.34015::m.34015,0,0,0,0,0,0,0,0,0,0,0,0,0,18.479,0,9.3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7836,0,3,NA,NA
TRINITY_DN48866_c0_g1::TRINITY_DN48866_c0_g1_i1::g.34024::m.34024,0,0,7.3125,7.4894,0,0,0,0,7.4179,7.2862,0,7.3,0,7.3205,0,0,0,7.3582,7.5689,22.6821,0,0,7.3873,14.9252,14.6818,14.7623,22.6875,7.6576,15.912,7.9295,7.3091,7.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1862,14.8824,82.7207,126.6355,31,4,K1PRD3
TRINITY_DN48869_c0_g1::TRINITY_DN48869_c0_g1_i1::g.34010::m.34010,1.3614,0,1.3185,2.7008,0,1.401,1.3997,0,0,2.6275,1.3048,1.3162,0,3.9598,0,1.3292,0,0,0,0,0,0,1.332,1.3455,0,1.3309,1.3636,0,0,0,0,0,1.4483,0,0,0,0,0,2.7965,0,2.7016,0,0,0,0,0,0,1.3417,13.5734,17.4736,8,8,A0A210PT43
TRINITY_DN4887_c0_g1::TRINITY_DN4887_c0_g1_i1::g.25166::m.25166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.145,0,6.3632,0,0,0,0,6.383,0,6.4897,0,0,0,6.012,0,0,0,0,0,0,0,12.8529,18.54,36,10,A0A210PDR8
TRINITY_DN48877_c0_g1::TRINITY_DN48877_c0_g1_i1::g.34022::m.34022,7.3802,0,0,0,7.3799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3011,7.2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7573,0,0,0,0,0,0,0,0,0,0,23.4383,7.3802,27,14,K1QFL9
TRINITY_DN48877_c0_g2::TRINITY_DN48877_c0_g2_i1::g.34023::m.34023,6.723,6.8865,0,6.6686,6.7228,0,0,0,0,0,6.4434,0,0,0,0,0,0,6.5518,0,0,0,0,0,6.6448,0,0,0,0,0,0,0,0,7.1521,0,0,0,0,0,13.8102,0,6.6708,6.6885,6.8017,6.721,6.8505,0,0,6.6257,40.654,67.3074,20,1,A0A2F0AVE9
TRINITY_DN48888_c0_g1::TRINITY_DN48888_c0_g1_i1::g.34046::m.34046,54.5313,50.5372,45.2681,38.6358,54.5296,42.7561,48.0549,44.5676,40.8183,37.5873,37.3307,47.7008,44.3224,47.8352,39.4151,35.4952,35.0524,32.8977,36.443,39.0037,23.2416,26.2868,40.6497,38.4975,30.2957,30.462,41.6138,47.4043,27.3619,27.2709,42.733,44.9171,27.6245,27.1283,32.827,43.3724,25.0316,24.5649,34.6716,30.4642,46.3782,46.501,39.4064,41.5349,47.6272,46.6029,37.0717,38.3871,871.7061,913.9118,2,11,K1PTY5
TRINITY_DN48899_c0_g1::TRINITY_DN48899_c0_g1_i2::g.34008::m.34008,0,0,8.7214,0,0,0,0,0,0,0,0,8.7064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4078,9.4867,0,0,0,9.249,0,0,0,0,0,0,0,0,0,9.249,36.3223,11,6,NA
TRINITY_DN48905_c0_g1::TRINITY_DN48905_c0_g1_i1::g.34013::m.34013,0,0,0,2.5963,0,0,0,2.8078,0,2.5259,0,0,0,2.5378,0,2.5557,0,0,0,0,0,0,2.5609,2.587,2.5448,0,2.6217,0,0,0,0,2.5154,0,2.7345,0,2.7325,0,0,0,0,2.5972,0,0,0,0,0,2.4912,0,15.4949,18.3529,9,10,A0A0L8FJU8
TRINITY_DN4892_c0_g1::TRINITY_DN4892_c0_g1_i1::g.25168::m.25168,14.4348,12.3214,11.6499,14.318,16.84,14.8546,17.3139,15.484,11.8178,9.2863,11.5286,6.9779,20.5317,13.9951,11.4115,9.3958,6.9589,14.0671,16.8817,16.8634,5.3832,5.412,16.4766,14.2667,11.695,9.4074,4.8192,7.3198,17.745,20.2125,9.3155,11.5596,12.7966,7.5401,10.1378,5.0229,7.7304,10.1149,12.3547,10.2633,14.3227,14.3606,12.1696,12.0253,12.257,15.2386,16.0281,16.5968,304.3049,251.8411,2,1,D3E2H1
TRINITY_DN48940_c0_g1::TRINITY_DN48940_c0_g1_i1::g.18279::m.18279,0,0,5.1385,0,0,0,0,0,0,0,0,5.1297,0,5.1442,0,0,0,0,0,0,5.936,0,0,0,5.1585,0,0,0,5.5907,0,0,0,5.6444,0,5.5895,0,0,0,0,0,0,5.2785,5.3678,0,0,0,0,0,16.6709,37.3069,5,6,A0A210Q8V9
TRINITY_DN48942_c0_g1::TRINITY_DN48942_c0_g1_i1::g.18275::m.18275,18.29,0,11.8091,6.0473,12.193,0,0,6.5398,5.9896,5.8832,5.8431,5.8944,5.7812,0,5.7837,5.9526,0,5.9414,6.1116,6.1049,13.6418,6.8574,5.9649,12.0514,5.9274,0,0,6.1832,6.4241,6.4027,17.7052,5.8588,19.4573,6.3692,6.4227,6.3644,13.06,19.2247,6.2618,6.5022,6.0493,0,6.168,12.1896,12.4245,0,11.6051,12.0168,186.2868,146.9341,1,1,A0A1S3HCB3
TRINITY_DN48950_c0_g1::TRINITY_DN48950_c0_g1_i1::g.18283::m.18283,2.7115,2.7774,2.6261,5.3791,2.7114,5.5807,5.5754,2.9086,2.6639,5.2332,12.9936,20.9723,15.4271,15.7735,5.1447,10.5897,15.6864,13.2122,5.4363,2.7152,3.0336,0,2.6529,2.6799,10.5449,5.3014,2.7158,0,2.8571,2.8476,2.6248,5.2114,2.8845,0,0,2.8306,5.8084,2.8501,2.7849,2.8919,8.0713,2.6976,13.7161,2.7107,2.7629,2.8625,5.1614,8.0168,116.1044,138.4438,1,1,NA
TRINITY_DN48976_c0_g1::TRINITY_DN48976_c0_g1_i1::g.18293::m.18293,0,0,0,0,0,0,0,0,2.7088,0,0,0,0,0,0,0,0,0,0,2.7609,0,0,0,0,0,2.6954,2.7616,0,5.8106,2.8956,0,0,0,2.8805,0,0,0,0,0,0,0,0,0,0,0,0,2.6242,2.7173,14.0477,13.8072,12,32,K1PRD3
TRINITY_DN48997_c0_g1::TRINITY_DN48997_c0_g1_i1::g.18285::m.18285,0,0,2.3766,0,0,0,0,0,0,0,2.3518,2.3725,0,0,2.328,0,0,0,0,0,0,0,0,2.4253,0,2.3989,0,0,0,2.5771,2.3755,0,0,0,0,2.5617,0,2.5793,2.5204,0,0,2.4413,2.4826,0,5.0009,0,0,2.4184,22.2249,16.9854,7,8,A0A0B6YVG8
TRINITY_DN49012_c0_g1::TRINITY_DN49012_c0_g1_i1::g.12718::m.12718,0,0,2.2797,0,0,2.4223,0,0,2.3125,0,2.256,0,0,2.2822,2.2331,6.8947,0,4.5878,0,0,0,0,2.303,2.3265,0,0,0,0,0,0,4.5572,0,0,2.4591,4.9595,0,7.5635,2.4742,0,0,0,0,0,0,0,2.485,2.2403,0,35.479,18.8546,8,2,V3ZZG6
TRINITY_DN49019_c0_g1::TRINITY_DN49019_c0_g1_i1::g.12731::m.12731,85.8401,87.9268,72.2913,81.4437,82.1054,72.974,107.4382,76.0657,73.3332,64.8274,71.5386,82.992,77.8591,97.6999,63.7311,72.8798,79.1678,58.194,71.0847,74.7447,79.3352,75.5622,80.3334,70.0859,61.6858,76.6182,82.2387,68.1324,62.9219,62.7127,75.87,78.9039,67.4962,62.3847,62.9081,62.3375,59.9617,58.8436,65.1652,75.6287,77.7672,81.6862,79.2923,85.8138,72.2557,90.6207,63.9382,77.2413,1719.8001,1700.6607,2,21,K1PTY5
TRINITY_DN49027_c0_g1::TRINITY_DN49027_c0_g1_i1::g.12723::m.12723,0,0,0,0,0,0,0,5.7223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.215,0,5.4103,5.6211,0,0,5.1264,0,0,0,0,0,0,0,0,0,0,0,5.3329,5.4357,0,0,0,21.9055,15.9582,12,20,A0A0L8HBT2
TRINITY_DN49035_c0_g1::TRINITY_DN49035_c0_g1_i1::g.12712::m.12712,13.0875,0,6.3375,12.9816,13.0871,6.7341,20.183,21.0582,25.7155,0,0,0,6.2051,0,12.4158,0,6.3094,0,6.5597,26.2105,7.3211,7.3603,6.4023,6.4676,12.7242,6.397,0,6.6366,13.7904,0,0,0,13.9227,0,13.7874,0,7.0089,6.8782,6.721,6.9791,12.9859,13.0203,6.6203,6.5417,13.3356,6.9082,24.9122,12.8981,200.264,183.2781,2,1,A0A1S3H8Y5
